 THU price [$] , Factory scale factor [-] , Shipping cost [$/mile] , Budget [$] , status , THU built , Factories build , Cost [$] 
" 7,000 ", 36 , 5 ," 100,000,000 ", 2 ," 11,952 ", 3 ," 100,000,000 "
" 7,000 ", 36 , 5 ," 150,000,000 ", 2 ," 18,135 ", 4 ," 150,000,000 "
" 7,000 ", 36 , 5 ," 200,000,000 ", 2 ," 24,240 ", 5 ," 200,000,000 "
" 7,000 ", 39 , 1 ," 50,000,000 ", 2 ," 5,643 ", 2 ," 50,000,000 "
" 7,000 ", 39 , 1 ," 100,000,000 ", 2 ," 11,949 ", 3 ," 100,000,000 "
" 7,000 ", 39 , 1 ," 150,000,000 ", 2 ," 18,236 ", 4 ," 150,000,000 "
" 7,000 ", 39 , 1 ," 200,000,000 ", 2 ," 24,480 ", 5 ," 200,000,000 "
" 7,000 ", 39 , 2 ," 50,000,000 ", 2 ," 5,622 ", 2 ," 50,000,000 "
" 7,000 ", 39 , 2 ," 100,000,000 ", 2 ," 11,898 ", 3 ," 100,000,000 "
" 7,000 ", 39 , 2 ," 150,000,000 ", 2 ," 18,124 ", 4 ," 150,000,000 "
" 7,000 ", 39 , 2 ," 200,000,000 ", 2 ," 24,324 ", 5 ," 200,000,000 "
" 7,000 ", 39 , 5 ," 50,000,000 ", 2 ," 5,570 ", 2 ," 50,000,000 "
" 7,000 ", 39 , 5 ," 100,000,000 ", 2 ," 11,775 ", 3 ," 100,000,000 "
" 7,000 ", 39 , 5 ," 150,000,000 ", 2 ," 17,910 ", 4 ," 150,000,000 "
" 7,000 ", 39 , 5 ," 200,000,000 ", 2 ," 23,949 ", 5 ," 200,000,000 "
" 8,000 ", 30 , 1 ," 50,000,000 ", 2 ," 5,239 ", 2 ," 50,000,000 "
" 8,000 ", 30 , 1 ," 100,000,000 ", 2 ," 10,925 ", 3 ," 100,000,000 "
" 8,000 ", 30 , 1 ," 150,000,000 ", 2 ," 16,597 ", 4 ," 150,000,000 "
