"CoC_Number","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"MI-507",NA,NA,NA,NA,NA,NA,NA,49,58,48,41,44,41,51,49,43,39,42,41,41,40,39,39,38,37,37,36,36,35
"MI-508",NA,NA,NA,NA,NA,NA,NA,42,40,41,44,39,42,42,41,42,45,40,40,40,40,40,41,41,41,41,41,41,41
"MI-509",NA,NA,NA,NA,NA,NA,NA,23,27,30,29,34,37,37,39,37,33,40,40,40,41,41,41,42,42,42,42,43,43
"MI-510",NA,NA,NA,NA,NA,NA,NA,55,51,45,46,55,44,49,54,48,46,45,44,43,42,41,40,39,37,36,35,34,33
"MI-511",NA,NA,NA,NA,NA,NA,NA,49,41,46,51,50,59,55,57,49,52,48,47,46,46,46,45,45,45,44,44,44,43
"MI-512",NA,NA,NA,NA,NA,NA,NA,47,37,32,38,33,34,33,35,37,33,35,35,35,35,36,36,36,37,37,37,38,38
"MI-514",NA,NA,NA,NA,NA,NA,NA,36,34,37,31,27,32,32,35,36,35,38,39,40,42,43,45,46,47,48,50,51,52
"MI-515",NA,NA,NA,NA,NA,NA,NA,43,44,45,52,47,51,50,57,46,53,57,59,62,67,73,83,104,160,1115,-113,-31,-6
"MI-516",NA,NA,NA,NA,NA,NA,NA,14,45,46,38,36,39,42,43,56,50,49,51,52,54,56,57,58,60,61,62,63,64
"MI-517",NA,NA,NA,NA,NA,NA,NA,53,49,55,63,51,42,50,47,47,49,46,47,47,47,47,47,47,47,47,48,48,48
"MI-518",NA,NA,NA,NA,NA,NA,NA,36,50,43,46,54,52,70,57,67,57,45,45,44,44,43,43,43,42,42,41,41,40
"MI-519",NA,NA,NA,NA,NA,NA,NA,47,41,46,47,42,47,46,46,41,47,47,48,48,48,48,49,49,49,49,50,50,50
"MI-523",NA,NA,NA,NA,NA,NA,NA,58,63,58,55,52,60,62,61,60,58,47,44,37,21,-126,121,85,75,71,68,66,65
"MN-500",NA,NA,NA,NA,NA,NA,NA,44,48,43,46,43,43,41,43,43,47,46,46,47,48,48,49,49,49,50,50,51,51
